ENSEMBL_ID	CD_LPS_1	WD_LPS_1	CD_LPS_2	WD_LPS_2
ENSMUSG00000009687	13169	11242	11461	13512
ENSMUSG00000061477	16501	13054	13106	14701
ENSMUSG00000018567	21007	18535	15161	17116
ENSMUSG00000037405	26110	25564	32348	34560
ENSMUSG00000024789	25902	26802	33390	38803
ENSMUSG00000052459	11292	11398	11965	13769
ENSMUSG00000005054	22725	19520	17464	19571
ENSMUSG00000004952	18442	22640	23717	26183
ENSMUSG00000033161	12860	10371	13118	12844
ENSMUSG00000026796	19886	24338	18826	20346
ENSMUSG00000060938	16800	12662	11361	12249
ENSMUSG00000019087	13759	12423	12279	13432
ENSMUSG00000047215	17080	12486	11191	11691
ENSMUSG00000051391	22495	21561	22574	24267
ENSMUSG00000015852	8830	9060	8048	10046
ENSMUSG00000029713	21325	19912	17399	18149
ENSMUSG00000028382	17784	21339	23839	30916
ENSMUSG00000004980	19194	17007	16373	18316
ENSMUSG00000012848	20167	14095	13109	14241
ENSMUSG00000003617	33278	35778	39131	43806
ENSMUSG00000020849	24315	24070	22459	26211
ENSMUSG00000091649	34551	36674	33766	39007
ENSMUSG00000040296	20168	22401	29472	36132
ENSMUSG00000078812	19776	16451	14692	15725
ENSMUSG00000060036	11285	8386	8644	9081
ENSMUSG00000025534	9092	7273	7594	8315
ENSMUSG00000028495	14958	12314	11727	13266
ENSMUSG00000032359	14561	15960	11049	13307
ENSMUSG00000022564	23176	24793	25283	26602
ENSMUSG00000043131	16186	17405	19152	23028
ENSMUSG00000018340	24501	26198	23315	27725
ENSMUSG00000024835	18965	18572	17236	20248
ENSMUSG00000046364	15624	12881	11614	12253
ENSMUSG00000029470	13661	14283	12775	15904
ENSMUSG00000028163	18481	20949	24566	25173
ENSMUSG00000027540	30093	26752	25205	25577
ENSMUSG00000028639	14703	13141	13209	15494
ENSMUSG00000063524	20839	16038	14582	12933
ENSMUSG00000024335	16618	18800	20549	23388
ENSMUSG00000025225	28915	27409	30475	30410
ENSMUSG00000025473	8634	10254	9838	11400
ENSMUSG00000037966	13754	11852	9036	9219
ENSMUSG00000029860	16525	22397	27116	31074
ENSMUSG00000001156	23683	38213	32846	44770
ENSMUSG00000028530	19386	20949	22735	25826
ENSMUSG00000058558	14432	10229	9867	10764
