ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_Ctl_1_fpm	WD_Ctl_1_fpm	CD_Ctl_2_fpm	WD_Ctl_2_fpm
ENSMUSG00000032525	1754.1112413471028	-1.22729934329854	0.23362109239270365	8.99328996296168e-9	1.6644723963195747e-6	45.163569011441446	25.195757425972054	54.78439030366849	15.279113531910784
ENSMUSG00000079487	2078.3323975325516	-1.2923496930823053	0.250885706757383	1.4875688815031816e-8	2.312673754443613e-6	62.48058313217925	30.304574599901873	57.6525885447891	15.94013822117763
ENSMUSG00000038384	1873.60608175731	-1.010944900283276	0.2061441983362944	6.510756160243046e-8	8.07610817323765e-6	52.74722691948869	28.516488589026437	49.10211076937295	19.62299006137862
ENSMUSG00000005732	1330.6742815125806	1.05817359915796	0.22552918234159483	1.8355992347320993e-7	1.7122469661581022e-5	13.375900562225056	32.62676422441543	19.878958878710137	40.64357518006429
ENSMUSG00000072109	1297.4857178697862	1.8887574088341894	0.2262676565574809	3.764871978211278e-18	6.271201037991929e-15	8.83764858575584	34.80962247145816	12.627287853990103	47.59377762721283
ENSMUSG00000014498	2005.265454632939	-1.390195751517464	0.21298991857424268	3.906046441745635e-12	1.980195717858874e-9	62.082490853541586	26.031745690796935	55.39771571371944	17.01666414369792
ENSMUSG00000061436	1515.0201099405697	-1.7378816931671561	0.18872775548339338	1.837556324365812e-21	4.2851813484210734e-18	52.42875309657857	14.142134813287543	41.45358212638465	13.258266624723573
ENSMUSG00000002028	1325.0449637872898	-1.0896069650041345	0.214515135342145	2.448752697942793e-8	3.524994624446045e-6	33.579083703085814	19.25095198721736	39.72183979212315	13.522676500430311
ENSMUSG00000030660	1516.261595029943	-1.1723764739158336	0.2228983272560924	8.931982298926814e-9	1.6644723963195747e-6	37.06239114116526	21.317700753034423	48.30839553283642	14.693634521417293
ENSMUSG00000056342	1436.0152613007194	-1.4495129008333683	0.20712361973880125	1.2662750302323453e-13	9.843177901672765e-11	41.122932383269294	17.671863042548143	43.924922749237	12.238399961283298
ENSMUSG00000062382	2244.1618958436193	1.0071102811515322	0.23239350403982484	1.012486454117095e-6	7.02713812797936e-5	24.62200743373868	47.62810919877298	32.6505585938887	74.75244914623347
ENSMUSG00000037646	1743.8395756166692	-1.1668981714214972	0.16872955674051127	3.103950728691313e-13	2.2620040935337944e-10	50.39848247552655	21.36414454552469	47.081744712734526	20.756175242978927
ENSMUSG00000032855	1658.5817965269143	-1.2826328984418252	0.20719313053424335	3.6543945130264274e-11	1.374523871673811e-8	52.52827616623798	21.758916781691994	42.68023294648655	15.807933283324259
ENSMUSG00000069893	942.2603275181322	-2.4227294598437665	0.27104662698719995	1.862765570464718e-20	3.6199744252697684e-17	31.091006961600502	7.7328914496301335	32.848987403022825	3.758397518974346
ENSMUSG00000029380	51.29952576185538	1.1127517781397447	0.6935957367368777	0.0034060817360862796	0.02560600454079047	0.6767568736840057	1.4629794634435387	0.34274067032258854	1.6242320936271044
ENSMUSG00000033799	493.1679861223151	-1.0391441635828818	0.24910616507235853	1.931629762078846e-6	1.1139136668121922e-4	12.898189827859875	7.268453524727423	14.232757309711703	5.080446897508036
ENSMUSG00000035284	1493.2556156152402	-2.0066988300931414	0.2055353679809461	8.36750927011407e-24	4.878257904476503e-20	45.442233606487804	13.7241406808751	50.779736155688774	9.594301204215919
ENSMUSG00000022723	1174.807567930957	-1.0266488245889216	0.21596609592032234	1.3464918664678395e-7	1.3893889524792043e-5	32.06633304426275	17.764750627528684	32.091350131783415	12.12508144312327
ENSMUSG00000090125	478.71077253453495	1.0242502649562384	0.24114613704832813	1.4660163457571214e-6	9.141043097073815e-5	5.135390394425691	13.097149482256443	6.945008319694557	13.144948106563543
ENSMUSG00000031004	618.0179764767125	-1.0711673826744186	0.22999572491978135	2.1057686936811093e-7	1.903353718474553e-5	15.52559886686837	6.664684222353898	18.634269075959683	8.649980219548997
ENSMUSG00000022801	792.5312244941971	-1.5506690191888983	0.2952558484049995	7.764415974833565e-9	1.5344591570603283e-6	23.18887523064314	10.56596279153667	24.911835037657617	4.778264182414621
ENSMUSG00000054843	841.2020071553886	-1.021981890661779	0.19677425340852345	1.454649903234882e-8	2.2920564691511793e-6	24.004964401850323	10.1944124516145	21.791091039457207	11.350738235696392
ENSMUSG00000072621	709.216167282578	-1.1868223211116158	0.25338208833628667	1.6678531974680755e-7	1.5810705920713627e-5	18.113198678013095	10.217634347859637	22.079714761834126	6.364723436655049
