ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_LPS_1_fpm	WD_LPS_1_fpm	CD_LPS_2_fpm	WD_LPS_2_fpm
ENSMUSG00000036206	2934.6998398912247	3.706235099403829e-7	0.0014426645547950603	0.9113127138008217	0.9996008921543936	56.096550684557585	59.36290109133945	68.31027557798001	67.18385871723441
ENSMUSG00000035575	1172.7984472177745	-3.589762794672375e-6	0.0014426669669477185	0.6074681870692424	0.9996008921543936	26.420756727843628	24.96634011612905	25.703930618124527	23.19792613625125
ENSMUSG00000025212	441.8020531844911	2.094162034114265e-6	0.0014426736184085897	0.5341492008960798	0.9996008921543936	8.264412704469487	10.425256153564757	9.567817444736303	9.522121707954483
ENSMUSG00000053536	1270.6723012206876	-7.103946119512536e-6	0.0014426724758900755	0.921073292521978	0.9996008921543936	27.012581678547324	27.3860850368046	26.90811816837738	27.351608856593536
ENSMUSG00000030127	1256.7481753107302	-2.246137296605234e-6	0.0014426650181275577	0.634220249606755	0.9996008921543936	27.329630759281446	26.5493508118981	28.353143228680807	25.23558181038143
ENSMUSG00000026389	319.1515680616899	1.7126364326156605e-6	0.0014426762653826648	0.6449689931636684	0.9996008921543936	7.0807628030620915	7.417535831603559	5.955254793977744	6.837902214148384
ENSMUSG00000031988	741.358717271134	6.429636489266454e-7	0.001442667593513326	0.9597778652012053	0.9996008921543936	15.450858534442952	15.71703476513559	16.376950683438796	15.850610003570322
ENSMUSG00000037972	3539.3603348887273	4.177135644462503e-6	0.0014426730281936512	0.3277045026545719	0.9996008921543936	57.322473796729525	73.97182836943671	81.51254999257037	89.85277809193263
ENSMUSG00000002763	663.4201782763428	-1.9855996402470355e-6	0.0014426717964533006	0.639907353837315	0.9996008921543936	15.979273668999825	14.857686101718103	13.530689201022962	12.363083945924442
ENSMUSG00000111118	4141.226636087213	-6.209345400690424e-6	0.0014427005622970666	0.48795943521091967	0.9996008921543936	23.46163197432514	68.43129093424503	107.76383858808256	154.46997437348384
ENSMUSG00000053286	1772.8242274063462	1.5590075154823872e-7	0.001442669675213085	0.97314869776726165	0.9996008921543936	31.472405414207326	35.84388503991354	44.11705297744542	40.165328191989076
ENSMUSG00000071647	693.6703697364752	-4.351822933288809e-6	0.0014426720961631014	0.6844626847748128	0.9996008921543936	14.457438081476031	13.885265245745686	16.201796130674744	14.773003637443786
